agency_cd,site_no,datetime,discharge.max,discharge.max.approval,discharge.min,discharge.min.approval,discharge.mean,discharge.mean.approval,gage.height.max,gage.height.max.approval,gage.height.min,gage.height.min.approval,gage.height.mean,gage.height.mean.approval
USGS,2085000,1/21/1928,NA,,NA,,47,A,NA,,NA,,NA,
USGS,2085000,1/22/1928,NA,,NA,,38,A,NA,,NA,,NA,
USGS,2085000,1/23/1928,NA,,NA,,36,A,NA,,NA,,NA,
USGS,2085000,1/24/1928,NA,,NA,,54,A,NA,,NA,,NA,
USGS,2085000,1/25/1928,NA,,NA,,208,A,NA,,NA,,NA,
USGS,2085000,1/26/1928,NA,,NA,,113,A,NA,,NA,,NA,
USGS,2085000,1/27/1928,NA,,NA,,61,A,NA,,NA,,NA,
USGS,2085000,1/28/1928,NA,,NA,,47,A,NA,,NA,,NA,
USGS,2085000,1/29/1928,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,1/30/1928,NA,,NA,,113,A,NA,,NA,,NA,
USGS,2085000,1/31/1928,NA,,NA,,221,A,NA,,NA,,NA,
USGS,2085000,2/1/1928,NA,,NA,,170,A,NA,,NA,,NA,
USGS,2085000,2/2/1928,NA,,NA,,80,A,NA,,NA,,NA,
USGS,2085000,2/3/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,2/4/1928,NA,,NA,,46,A,NA,,NA,,NA,
USGS,2085000,2/5/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,2/6/1928,NA,,NA,,55,A,NA,,NA,,NA,
USGS,2085000,2/7/1928,NA,,NA,,60,A,NA,,NA,,NA,
USGS,2085000,2/8/1928,NA,,NA,,562,A,NA,,NA,,NA,
USGS,2085000,2/9/1928,NA,,NA,,170,A,NA,,NA,,NA,
USGS,2085000,2/10/1928,NA,,NA,,102,A,NA,,NA,,NA,
USGS,2085000,2/11/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,2/12/1928,NA,,NA,,57,A,NA,,NA,,NA,
USGS,2085000,2/13/1928,NA,,NA,,96,A,NA,,NA,,NA,
USGS,2085000,2/14/1928,NA,,NA,,80,A,NA,,NA,,NA,
USGS,2085000,2/15/1928,NA,,NA,,263,A,NA,,NA,,NA,
USGS,2085000,2/16/1928,NA,,NA,,140,A,NA,,NA,,NA,
USGS,2085000,2/17/1928,NA,,NA,,67,A,NA,,NA,,NA,
USGS,2085000,2/18/1928,NA,,NA,,170,A,NA,,NA,,NA,
USGS,2085000,2/19/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,2/20/1928,NA,,NA,,57,A,NA,,NA,,NA,
USGS,2085000,2/21/1928,NA,,NA,,49,A,NA,,NA,,NA,
USGS,2085000,2/22/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,2/23/1928,NA,,NA,,108,A,NA,,NA,,NA,
USGS,2085000,2/24/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,2/25/1928,NA,,NA,,61,A,NA,,NA,,NA,
USGS,2085000,2/26/1928,NA,,NA,,55,A,NA,,NA,,NA,
USGS,2085000,2/27/1928,NA,,NA,,51,A,NA,,NA,,NA,
USGS,2085000,2/28/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,2/29/1928,NA,,NA,,45,A,NA,,NA,,NA,
USGS,2085000,3/1/1928,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,3/2/1928,NA,,NA,,40,A,NA,,NA,,NA,
USGS,2085000,3/3/1928,NA,,NA,,37,A,NA,,NA,,NA,
USGS,2085000,3/4/1928,NA,,NA,,36,A,NA,,NA,,NA,
USGS,2085000,3/5/1928,NA,,NA,,34,A,NA,,NA,,NA,
USGS,2085000,3/6/1928,NA,,NA,,33,A,NA,,NA,,NA,
USGS,2085000,3/7/1928,NA,,NA,,31,A,NA,,NA,,NA,
USGS,2085000,3/8/1928,NA,,NA,,30,A,NA,,NA,,NA,
USGS,2085000,3/9/1928,NA,,NA,,118,A,NA,,NA,,NA,
USGS,2085000,3/10/1928,NA,,NA,,66,A,NA,,NA,,NA,
USGS,2085000,3/11/1928,NA,,NA,,182,A,NA,,NA,,NA,
USGS,2085000,3/12/1928,NA,,NA,,91,A,NA,,NA,,NA,
USGS,2085000,3/13/1928,NA,,NA,,69,A,NA,,NA,,NA,
USGS,2085000,3/14/1928,NA,,NA,,58,A,NA,,NA,,NA,
USGS,2085000,3/15/1928,NA,,NA,,54,A,NA,,NA,,NA,
USGS,2085000,3/16/1928,NA,,NA,,66,A,NA,,NA,,NA,
USGS,2085000,3/17/1928,NA,,NA,,124,A,NA,,NA,,NA,
USGS,2085000,3/18/1928,NA,,NA,,563,A,NA,,NA,,NA,
USGS,2085000,3/19/1928,NA,,NA,,146,A,NA,,NA,,NA,
USGS,2085000,3/20/1928,NA,,NA,,102,A,NA,,NA,,NA,
USGS,2085000,3/21/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,3/22/1928,NA,,NA,,61,A,NA,,NA,,NA,
USGS,2085000,3/23/1928,NA,,NA,,56,A,NA,,NA,,NA,
USGS,2085000,3/24/1928,NA,,NA,,54,A,NA,,NA,,NA,
USGS,2085000,3/25/1928,NA,,NA,,68,A,NA,,NA,,NA,
USGS,2085000,3/26/1928,NA,,NA,,69,A,NA,,NA,,NA,
USGS,2085000,3/27/1928,NA,,NA,,57,A,NA,,NA,,NA,
USGS,2085000,3/28/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,3/29/1928,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,3/30/1928,NA,,NA,,42,A,NA,,NA,,NA,
USGS,2085000,3/31/1928,NA,,NA,,40,A,NA,,NA,,NA,
USGS,2085000,4/1/1928,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,4/2/1928,NA,,NA,,37,A,NA,,NA,,NA,
USGS,2085000,4/3/1928,NA,,NA,,37,A,NA,,NA,,NA,
USGS,2085000,4/4/1928,NA,,NA,,35,A,NA,,NA,,NA,
USGS,2085000,4/5/1928,NA,,NA,,34,A,NA,,NA,,NA,
USGS,2085000,4/6/1928,NA,,NA,,33,A,NA,,NA,,NA,
USGS,2085000,4/7/1928,NA,,NA,,31,A,NA,,NA,,NA,
USGS,2085000,4/8/1928,NA,,NA,,30,A,NA,,NA,,NA,
USGS,2085000,4/9/1928,NA,,NA,,29,A,NA,,NA,,NA,
USGS,2085000,4/10/1928,NA,,NA,,124,A,NA,,NA,,NA,
USGS,2085000,4/11/1928,NA,,NA,,574,A,NA,,NA,,NA,
