"","Date","Site.Name","COUNTY","mean_lat","mean_lon","Month","Year","Ozone","PM2.5"
"200",2018-01-18,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,40
"201",2018-01-18,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,45
"202",2018-01-18,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,31,40
"203",2018-01-18,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,35
"204",2018-01-18,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,31
"205",2018-01-18,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,34
"206",2018-01-18,"Millbrook School","Wake",35.856111,-78.574167,1,2018,35,54
"207",2018-01-18,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,38
"208",2018-01-18,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,50
"209",2018-01-19,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,52
"210",2018-01-19,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,54
"211",2018-01-19,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,57
"212",2018-01-19,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,22,49
"213",2018-01-19,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,43
"214",2018-01-19,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,25
"215",2018-01-19,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,37
"216",2018-01-19,"Millbrook School","Wake",35.856111,-78.574167,1,2018,32,55
"217",2018-01-19,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,34
"218",2018-01-19,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,42
"219",2018-01-20,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,51
"220",2018-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,21
"221",2018-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,63
"222",2018-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,45
"223",2018-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,6
"224",2018-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,32,43
"225",2018-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,36
"226",2018-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,28
"227",2018-01-20,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,8
"228",2018-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,38
"229",2018-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,2018,35,50
"230",2018-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,41
"231",2018-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,40
"232",2018-01-21,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,50
"233",2018-01-21,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,48
"234",2018-01-21,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,44
"235",2018-01-21,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,36,53
"236",2018-01-21,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,49
"237",2018-01-21,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,22
"238",2018-01-21,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,34
"239",2018-01-21,"Millbrook School","Wake",35.856111,-78.574167,1,2018,34,51
"240",2018-01-21,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,35
"241",2018-01-21,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,43
"242",2018-01-22,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,48
"243",2018-01-22,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,25
"244",2018-01-22,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,58
"245",2018-01-22,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,59
"246",2018-01-22,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,37,57
